word,pos,hindi
Predominant,adjective,प्रमुख
Epidemiological,adjective,महामारी विज्ञान संबंधी
Setting,noun,परिवेश
Initiation,noun,शुरुआत
Periodically,adverb,समय-समय पर
Slip,verb,चूक
Strengthening,adjective,मजबूती
Drive,verb,प्रेरित करना
Disruptive,adjective,विघटनकारी
Accord,noun,समझौता
Shut,verb,बंद करना
Et al,adverb,और अन्य
Clamour,noun,मांग
Honchos,noun,बड़े अधिकारी
Heighten,verb,बढ़ाना
Blip,noun,छोटा उतार-चढ़ाव
Downgrade,verb,दर्जा घटाना
Uptick,noun,मामूली वृद्धि
Metric,noun,मापदंड
Entrenched,adjective,गहराई से जमा हुआ
Interim,noun,अंतरिम
Back and forth,phrase,बार-बार आगे-पीछे
North Block,noun,नॉर्थ ब्लॉक
Stumbling,adjective,बाधा
Lay blame for,phrase,दोष देना
Slump,noun,गिरावट
Spark,verb,जगाना
Rebound,noun,उछाल आना
Virtuous,adjective,सद्गुणी
Disposable income,noun,व्यय योग्य आय
Pin for,phrasal verb,जिम्मेदार ठहराना
Front,noun,मोर्चा
Ball in someone’s court,phrase,अब उसकी बारी
Ease,verb,सुगमता
Spur,verb,प्रोत्साहित करना
Unenviable,adjective,अवांछनीय
Tempt,verb,लुभाना
Take a cue,phrase,प्रेरणा लेना
Predecessor,noun,पूर्ववर्ती
Stance,noun,रुख
Dispense,verb,वितरित करना
Wisdom,noun,बुद्धिमत्ता
Contemplative,adjective,चिंतनशील
Colntented,adjective,संतुष्ट
Apprehensive,adjective,आशंकित
Liberalisation,noun,उदारीकरण
Hitherto,adverb,अब तक
Spectrum,noun,दायरा
Seek,verb,तलाश करना
Lower-rung,adjective,निचले स्तर का
Exorbitant,adjective,बहुत अधिक
Necessitate,verb,आवश्यक बनाना
Measly,adverb,बहुत कम
Witness,verb,देखना
Wonder,verb,आश्चर्य
Phenomenon,noun,घटना
Result in,phrasal verb,परिणाम देना
Strata,noun,स्तर
Perceived,adjective,माना गया
Exhort,verb,प्रेरित करना
Mushroom,verb,तेजी से बढ़ना
Reflect (on),verb,विचार करना
Implication,noun,प्रभाव
Invariably,adverb,हमेशा
Draw upon,phrasal verb,उपयोग करना
Bias,noun,पूर्वाग्रह
Curative,adjective,उपचारात्मक
Preventive,adjective,निवारक
Res ult in,phrasal verb,परिणाम देना
Inefficiency,noun,अक्षमता
Soaring,adjective,तेजी से बढ़ता
Anaemia,noun,रक्ताल्पता
Cardiovascular,adjective,हृदय-रक्तवाहिका संबंधी
Screening,noun,जांच
Wellness,noun,स्वास्थ्य
Inflation,noun,मुद्रास्फीति
Justified,adjective,उचित
Exempt,verb,मुक्त
Inextricably,adverb,अटूट रूप से
Daydream,verb,दिवास्वप्न देखना
Soothe,verb,शांत करना
Frayed,adjective,तनावग्रस्त
Nerves,noun,नसें
So much so that,phrase,इतना कि
Reassurance,noun,आश्वासन
Auspicious,adjective,शुभ
Zeal,noun,उत्साह
Display,verb,प्रदर्शित करना
Key,noun,प्रमुख
Immerse,adjective,डूब जाना
Abrupt,adjective,अचानक
Halt,noun,रोकना
In a dilemma,phrase,दुविधा में
Ward off,phrasal verb,दूर रखना
Ill effect,phrase,बुरा प्रभाव
Cut short,phrase,छोटा करना
Savoury,noun,स्वादिष्ट
Oktoberfest,noun,ऑक्टोबरफेस्ट
Festivity,noun,उत्सव
Feline,noun,बिल्ली प्रजाति
Inkling,noun,आभास
Misfortune,noun,दुर्भाग्य
Invoke,verb,आह्वान करना
Ritual,noun,रीति-रिवाज
Call out,phrasal verb,पुकारना
Abound,verb,प्रचुर होना
So called,adjective,तथाकथित
Myth,noun,मिथक
Coluntless,adjective,अनगिनत
Fuel,verb,बढ़ावा देना
Frenzy,noun,उन्माद
Unimaginable,adjective,अकल्पनीय
Root for,phrasal verb,समर्थन करना
Remotely,adverb,दूर से भी
Sprout,verb,अंकुरित होना
Charms,noun,आकर्षक गुण
Urge,verb,प्रबल इच्छा
Bursting bladder,noun,पेशाब की तीव्र इच्छा
Quirky,adjective,अनोखा
Sound,adjective,"उचित, ठोस"
Reasoning,noun,तर्क
Way round,phrasal verb,उपाय
Heady,adjective,उत्तेजक
Cockatail,noun,मिश्रण
Attributed (to),adjective,श्रेय दिया गया
Sustainable,adjective,टिकाऊ
Driver,noun,प्रेरक कारक
Autonomy,noun,स्वायत्तता
Reflect,verb,प्रतिबिंबित करना
Enthusiasm,noun,उत्साह
Investible,adjective,निवेश योग्य
Corpus,noun,मूलधन
Risk-averse,adjective,जोखिम से बचने वाला
Perplexing,adjective,उलझन भरा
Benchmark indices,noun,मानक सूचकांक
For instance,phrase,उदाहरण के लिए
Rolling return,noun,चलंत प्रतिफल
Outpace,verb,आगे निकल जाना
Tend (to),verb,प्रवृत्ति होना
Substantial,adjective,काफी अधिक
Prudent,adjective,विवेकपूर्ण
Transparent,adjective,पारदर्शी
Complement,verb,पूरक होना
Diverse,adjective,विविध
Systematic investment plan (SIP),noun,व्यवस्थित निवेश योजना
Navigate,verb,मार्ग निकालना
Wisely,adverb,बुद्धिमानी से
Robust,adjective,मजबूत
Stifle,verb,दबाना
Confront,verb,सामना करना
Thrive in,phrasal verb,फलना-फूलना
Vast,adjective,विशाल
Pursue,verb,आगे बढ़ाना
Stereotype,noun,रूढ़िवादी धारणा
So-called,adjective,तथाकथित
Leaky pipeline,noun,रिसाव वाली प्रणाली
Take one’s toll,phrase,नुकसान पहुँचाना
Persist,verb,बना रहना
Dismal,adjective,निराशाजनक
Status quo,noun,यथास्थिति
Remarkable,adjective,उल्लेखनीय
Pioneer,verb,अग्रणी
Instrumental,adjective,"सहायक, महत्वपूर्ण"
Triumphant,adjective,विजयी
Pave the way for,phrase,मार्ग प्रशस्त करना
Flourish,verb,फलना-फूलना
Firsthand,adjective,प्रत्यक्ष
Enrich,verb,समृद्ध करना
Dismantle,verb,तोड़ना
Hinder,verb,बाधा डालना
Tear down,phrasal verb,गिरा देना
Groundbreaking,adjective,अभूतपूर्व
Prosperous,adjective,समृद्ध
Connotation,noun,अर्थ संकेत
Impulse,noun,आवेग
Steam,noun,"गति, जोश"
In anticipation of,phrase,की प्रत्याशा में
Reckoning,noun,आकलन
Cite,verb,उल्लेख करना
Projection,noun,अनुमान
Exude,verb,प्रकट करना
Dark cloud,phrase,खतरे का संकेत
Loom (over),verb,मंडराना
Benign,adjective,सौम्य
Outlook,noun,दृष्टिकोण
Room,noun,गुंजाइश
So far,phrase,अब तक
Play spoilsport,phrase,मज़ा किरकिरा करना
Commuting cost,noun,यात्रा खर्च
Chunk,noun,टुकड़ा
Flare up,phrasal verb,भड़क उठना
Exacerbate,verb,और बिगाड़ना
Afresh,adverb,नए सिरे से
Compound,verb,बढ़ाना
Impose,verb,थोपना
Edible,adjective,खाने योग्य
Pass-through,noun,स्थानांतरण
Undo,verb,पूर्ववत करना
Volatility,noun,अस्थिरता
Mindful,adjective,सचेत
Hold off,phrasal verb,टालना
Pursuit,noun,"खोज, प्रयास"
Warrant,verb,उचित ठहराना
Alleviate,verb,कम करना
Unveil,verb,उजागर करना
Levy,noun,कर लगाना
The vulnerable,noun,कमजोर वर्ग
Headline,verb,मुख्य शीर्षक
Strip,verb,छीनना
Accelerate,verb,गति बढ़ाना
Escalate,verb,बढ़ना
Vigour,noun,"ओज, ताकत"
Tap,verb,उपयोग करना
Lead (to),verb,परिणाम देना
Reach out,phrasal verb,संपर्क करना
Adjoining,adjective,सटा हुआ
Reservation,noun,आरक्षण
Shackle,verb,"बेड़ी, बाधा"
Societal,adjective,सामाजिक
Barrier,noun,बाधा
Malnourished,adjective,कुपोषित
Reluctant (to),adjective,अनिच्छुक
Overcome,verb,पार पाना
Stigma,noun,कलंक
Recurring,adjective,बार-बार होने वाला
Empower,verb,सशक्त बनाना
Refusal,noun,इनकार
Collapse,noun,पतन
Hostage,noun,बंधक
Resume,verb,फिर से शुरू करना
Drag (on),verb,खींचते रहना
Plight,noun,दुर्दशा
Bolster,verb,मजबूत करना
Infrastructure,noun,बुनियादी ढांचा
Insurgency,noun,विद्रोह
Isolation,noun,अलगाव
Hear,verb,सुनना
Genocide,noun,नरसंहार
Accuse (of),verb,दोषी ठहराना
Unperturbed,adjective,अविचलित
Thanks to,phrase,के कारण
Meet,verb,पूरा करना
Tiny,adjective,बहुत छोटा
Disregard,noun,उपेक्षा
Barbarity,noun,क्रूरता
Well-being,noun,कल्याण
Balcker,noun,समर्थक
Prolong,verb,लंबा करना
Aimless,adjective,उद्देश्यहीन
Criticism,noun,आलोचना
Self-sabotage,noun,स्वयं को नुकसान पहुँचाना
Isolated,adjective,अलग-थलग
Intimacy,noun,निकटता
Perfectionism,noun,पूर्णतावाद
Shrink,verb,सिकुड़ना
Setback,noun,झटका
Let go,phrase,छोड़ देना
Erase,verb,मिटाना
Reclaim,verb,वापस पाना
Resonate,verb,"मेल खाना, गूंजना"
Come to light,phrase,उजागर होना
Book (for),verb,मुकदमा दर्ज करना
Unfortunately,adverb,दुर्भाग्यवश
Vu lnerable (to),adjective,"प्रवण, कमजोर"
Exploitation,noun,शोषण
Myriad,adjective,अनगिनत
Deterrence,noun,निवारण
Prohibit,verb,प्रतिबंधित करना
Hazardous,adjective,खतरनाक
Occupation,noun,पेशा
Juvenile,noun,किशोर
Enforcement,noun,प्रवर्तन
Hold the key,phrase,मुख्य कारण होना
Curb,verb,अंकुश लगाना
Scourge,noun,अभिशाप
Synergy,noun,तालमेल
Prerequisite,noun,पूर्वापेक्षा
Disrupt,verb,बाधित करना
Go hand in hand,phrase,साथ-साथ चलना
Host,verb,मेज़बानी करना
Regime,noun,शासन
Lean (on),verb,सहारा लेना
Reportedly,adverb,बताया जाता है कि
Sentence,noun,सज़ा
Forge,verb,मजबूत बनाना
Fitting,adjective,उपयुक्त
Overdue,adjective,विलंबित
Readout,noun,"विवरण, सारांश"
Dwell on,phrasal verb,गहराई से चर्चा करना
Geopolitical,adjective,भू-राजनीतिक
Undertone,noun,अंतर्निहित भाव
Summit,noun,शिखर सम्मेलन
Amidst,preposition,बीच में
Turmoil,noun,उथल-पुथल
Outrageous,adjective,आक्रोशजनक
Voice,verb,व्यक्त करना
Convey,verb,व्यक्त करना
Detail,verb,विस्तार से बताना
Development,noun,घटनाक्रम
Bridge the divide,phrase,मतभेद पाटना
Committed,adjective,समर्पित
Forward-looking,adjective,भविष्योन्मुखी
Have no truck with,phrase,कोई संबंध न रखना
Pronouncement,noun,घोषणा
Note verbale,noun,राजनयिक पत्र
Missive,noun,पत्र
Extradition,noun,प्रत्यर्पण
Perpetrate,verb,अंजाम देना
Crackdown,noun,कड़ी कार्रवाई
Amend,verb,संशोधित करना
Set out,phrasal verb,शुरू करना
Course,noun,मार्ग
Assuage,verb,शांत करना
Outright,adjective,स्पष्ट रूप से
Non-escalatory,adjective,गैर-उग्रकारी
Legality,noun,वैधानिकता
Protracted,adjective,लंबा खिंचा हुआ
Negotiation,noun,बातचीत
Liberation,noun,मुक्ति
Assassination,noun,हत्या
Exile,noun,निर्वासन
Strengthen,verb,मजबूत करना
Futile,adjective,निरर्थक
Refuge,noun,शरण
Colercive,adjective,बलपूर्वक
Shelter,verb,आश्रय
Waver,verb,डगमगाना
Furthermore,adverb,इसके अलावा
Bring someone to account,phrase,जवाबदेह बनाना
Mandate,noun,अधिदेश
Duly,adjective,यथोचित रूप से
Recognition,noun,मान्यता
Scar,verb,"घाव, निशान"
Embitter,verb,कड़वा बनाना
Tense,adjective,तनावपूर्ण
In a silo,phrase,अलग-थलग होकर
Aslpect,noun,पहलू
Question,verb,प्रश्न उठाना
Elicit,verb,निकलवाना
Take note of,phrase,ध्यान देना
Defunct,adjective,निष्क्रिय
For want of,phrase,की कमी के कारण
Bound (to),adjective,निश्चित
Impart,verb,प्रदान करना
Direct,verb,निर्देश देना
Spell out,phrasal verb,स्पष्ट रूप से बताना
Definite,adjective,निश्चित
Bring about,phrasal verb,लाना
Verdict,noun,फैसला
Call for,phrasal verb,मांग करना
Proactive,adjective,पूर्व-सक्रिय
Strip (of),verb,छीन लेना
From various walks of life,phrase,जीवन के विभिन्न क्षेत्रों से
Hearing,noun,सुनवाई
Inevitable,adjective,अपरिहार्य
Backlog,noun,लंबित कार्य
Intervention,noun,हस्तक्षेप
Confluence,noun,संगम
Sustained,adjective,निरंतर
Oultflow,noun,बहिर्वाह
Foreign portfolio investment,noun,विदेशी पोर्टफोलियो निवेश
Indices,noun,सूचकांक
Peak,verb,शिखर
Overstretched,adjective,अत्यधिक तनावग्रस्त
Stimulus,noun,प्रोत्साहन
Nudge,verb,हल्का धक्का देना
Emerging,adjective,उभरता हुआ
Headwind,noun,प्रतिकूल परिस्थिति
Rattle,verb,विचलित करना
Tariff,noun,शुल्क
Dominance,noun,प्रभुत्व
Protectionist,adjective,संरक्षणवादी
Materialise,verb,साकार होना
Sputtering,adjective,लड़खड़ाता हुआ
Trade deficit,noun,व्यापार घाटा
Show up,phrasal verb,दिखाई देना
Current account deficit,noun,चालू खाता घाटा
Throw up,phrasal verb,उत्पन्न करना
Soothing,adjective,सुखदायक
Forthrightly,adverb,स्पष्ट रूप से
Idea in the air,phrase,चर्चा में विचार
Stress,verb,जोर देना
De-dollarisation,noun,डॉलर पर निर्भरता कम करना
Agenda,noun,कार्यसूची
Unequivocal,adjective,स्पष्ट
To this effect,phrase,इस आशय से
Fora,noun,मंच
Parley,noun,वार्ता
Put something to rest,phrase,समाप्त कर देना
Take a hit,phrase,नुकसान उठाना
Bode well,phrase,शुभ संकेत देना
Inelastic item,noun,अस्थिर मांग वाली वस्तु
Moreover,adverb,इसके अलावा
To the extent,phrase,जिस हद तक
Trajectory,noun,प्रक्षेप पथ
Concede,verb,स्वीकार करना
Cramp,verb,सीमित करना
Pollicymaker,noun,नीति निर्माता
Woes,noun,कठिनाइयाँ
Faltering,adjective,लड़खड़ाता
Reluctant,adjective,अनिच्छुक
Resilience,noun,लचीलापन
Gear up,phrasal verb,तैयार होना
Dread,noun,भय
Incalculable,adjective,अकल्पनीय
Bubble up,phrasal verb,उभरना
Gigantic shard,noun,विशाल टुकड़ा
Layer (on),verb,परत चढ़ाना
Continent,noun,महाद्वीप
Collide,verb,टकराना
Diverge,verb,अलग होना
Slide,verb,खिसकना
Eurasian plate,noun,यूरेशियन प्लेट
Crust,noun,पपड़ी
Tilt,verb,झुकाव
Fractured,adjective,खंडित
Fault line,noun,भ्रंश रेखा
Seismologist,noun,भूकंप वैज्ञानिक
Latent energy,noun,गुप्त ऊर्जा
Reside,verb,निहित होना
Pent-up energy,noun,संचित ऊर्जा
Broad,adjective,व्यापक
Consensus,noun,सर्वसम्मति
Temblor,noun,भूकंप
Ambit,noun,दायरा
Insulation,noun,सुरक्षा कवच
Recurrent,adjective,बार-बार होने वाला
Outburst,noun,"विस्फोट, भड़काव"
Wash away,phrasal verb,बहा ले जाना
Inherent,adjective,अंतर्निहित
Fragility,noun,नाजुकता
Take into account,phrasal verb,ध्यान में रखना
Imminence,noun,आसन्नता
Factor into,phrasal verb,गणना में शामिल करना
Adhere (to),verb,पालन करना
Go a long way,phrase,बहुत मददगार होना
Susceptible,adjective,प्रवण
Wake up,phrasal verb,जागना
Throughout,adverb,पूरे समय
Compassion,noun,करुणा
Embrace,verb,अपनाना
In-person,adjective,प्रत्यक्ष रूप से
Rely (on),verb,निर्भर रहना
Solely,adverb,केवल
Uplift,verb,उत्थान
Refrain (from),verb,बचना
Validation,noun,पुष्टि
Urgency,noun,अत्यावश्यकता
Heal,verb,ठीक होना
Initiate,verb,शुरू करना
Comprehensive,adjective,व्यापक
Cornerstone,noun,आधारशिला
Consent,noun,सहमति
Manldate,noun,अधिदेश
Explicit,adjective,स्पष्ट
Guardian,noun,संरक्षक
Vital,adjective,अत्यंत महत्वपूर्ण
Exploit,verb,फायदा उठाना
Behavioural profiling,noun,व्यवहार विश्लेषण
Psychological,adjective,मनोवैज्ञानिक
Repurpose,verb,नए उद्देश्य से उपयोग करना
Double-edge sword,phrase,दोधारी तलवार
Data fiduciary,noun,डेटा न्यासी
Filter out,phrasal verb,छानकर हटाना
Provision,noun,प्रावधान
Susceptible (to),adjective,प्रवण
Stimuli,noun,उद्दीपन
Underscore,verb,रेखांकित करना
Collaboration,noun,सहयोग
Pivotal,adjective,"केंद्रीय, महत्वपूर्ण"
Framework,noun,ढांचा
Tranlsparent,adjective,पारदर्शी
Monitor,verb,निगरानी करना
Accountability,noun,जवाबदेही
Across the board,phrase,सभी पर लागू
Leap,noun,छलांग
Hinge (on),verb,पर निर्भर करना
Occasion,noun,अवसर
Streak,noun,लगातार क्रम
Conclude,verb,समाप्त करना
Seize,verb,जब्त करना
Margin,noun,अंतर
Squad,noun,टीम
Have one’s moment,phrase,अपना समय पाना
Victor,noun,विजेता
Podium,noun,पुरस्कार मंच
Play second fiddle,phrase,गौण भूमिका निभाना
Speedster,noun,तेज गेंदबाज़/धावक
Chase,noun,पीछा
Prosper,verb,समृद्ध होना
Skipper,noun,कप्तान
Resilient,adjective,"लचीला, दृढ़"
Follow-on,noun,फॉलो-ऑन
Transition,noun,परिवर्तन
Ease out,phrasal verb,धीरे-धीरे हटाना
Down Under,noun,ऑस्ट्रेलिया
Flux,noun,निरंतर बदलाव
Follow suit,phrase,अनुसरण करना
Sojourn,noun,अस्थायी प्रवास
Ton,noun,शतक
Yield,noun,"उपज, प्रतिफल"
Newcomer,adjective,नवागंतुक
Bail out,phrasal verb,उबारना
Ineptitude,noun,अक्षमता
Second-wind,noun,नई ऊर्जा
Toil,verb,कठोर परिश्रम
Rank,noun,"क्रम, दर्जा"
Adept (at),adjective,निपुण
At home,phrase,परिचित माहौल में
Invade,verb,आक्रमण करना
Diplomatic,adjective,कूटनीतिक
Crippling,adjective,विनाशकारी
NATO,noun,नाटो
Dictator,noun,तानाशाह
Swear,verb,शपथ लेना
Come to fruition,phrase,साकार होना
Mark,verb,चिन्हित करना
Breakthrough,noun,बड़ी सफलता
In terms of,phrase,के संदर्भ में
Resolve,noun,दृढ़ संकल्प
Press (on),verb,दबाव डालना
Hint (at),verb,संकेत देना
Unpalatable,adjmective,अरुचिकर
Annex,verb,कब्जा करना
Virtually,adverb,लगभग
Rule out,phrasal verb,खारिज करना
Indeed,adverb,वास्तव में
Sustain,verb,बनाए रखना
Unlequivocally,adverb,स्पष्ट रूप से
Denouement,noun,अंतिम परिणाम
Profound,adjective,गहरा
De facto,noun,वास्तव में
Territorial,adjective,क्षेत्रीय
Aggression,noun,आक्रामकता
Concerning,adjective,चिंताजनक
Undocumented,adjective,"अवैध, बिना दस्तावेज़"
Migration,noun,प्रवास
Merchandise,noun,माल
Mirror,verb,प्रतिबिंबित करना
Fragmentation,noun,विखंडन
Spill over,phrasal verb,फैल जाना
Dumping,noun,बाज़ार भाव से कम कीमत पर बेचना
Degree,noun,स्तर
Obsess (with),verb,जुनून होना
Secular,adjective,धर्मनिरपेक्ष
Portfolio,noun,निवेश समूह
Fine-tune,verb,सूक्ष्म समायोजन करना
Replicate,verb,दोहराना
Accomplish,verb,पूरा करना
Equilibrium,noun,संतुलन
Swift,adjective,तेज़
Inltervention,noun,हस्तक्षेप
Leeway,noun,छूट
De-globalisation,noun,वैश्वीकरण-विरोधी प्रवृत्ति
Inauguration,noun,उद्घाटन
Bilateral,adjective,द्विपक्षीय
On the sidelines of,phrase,के दौरान अलग से
Point towards,phrasal verb,संकेत देना
Merit,verb,योग्यता
The elephant in the room,phrase,अनदेखा बड़ा मुद्दा
Immigration,noun,आप्रवासन
Emphasise,verb,बल देना
Provided,preposition,बशर्ते
With respect to,phrase,के संबंध में
Willingness,noun,इच्छा
Reciprocal,adjective,पारस्परिक
Perhaps,adv@erb,शायद
Depress,verb,कम करना
Job displacement,noun,नौकरी विस्थापन
Likely,adjective,संभावित
Wrestle,verb,जूझना
Ultimately,adverb,अंततः
Anticipation,noun,प्रत्याशा
Recalibrate,verb,पुनः समायोजित करना
Duty,noun,"कर्तव्य, शुल्क"
Tinkering,noun,छोटे-मोटे बदलाव
Fix,noun,सुधारना
In the long term,phrase,दीर्घकाल में
Deepen,verb,गहरा करना
Ties,noun,संबंध
Economies,noun,अर्थव्यवस्थाएं
Resist,verb,प्रतिरोध करना
Arguably,adverb,संभवतः
On the cusp of,phrase,की दहलीज़ पर
Swiftly,adverb,तेज़ी से
Modernise,verb,आधुनिक बनाना
Ecosystem,noun,पारिस्थितिकी तंत्र
Landscape,noun,परिदृश्य
Envisage,verb,कल्पना करना
Decade,noun,दशक
Dog,verb,पीछे लगे रहना
Hydrologist,noun,जल विज्ञानी
Prone (to),adjective,प्रवण
Alteration,noun,परिवर्तन
Pay heed to,phrase,ध्यान देना
Come apart,phrase,बिखर जाना
Subject (to),verb,अधीन
Stringent,adjective,कठोर
Bar,noun,रोकना
Underline,verb,रेखांकित करना
Hasty,adjective,जल्दबाज़ी वाला
Spare no efforts,phrase,पूरी कोशिश करना
Extract,verb,निकालना
Concession,noun,रियायत
Unpredictability,noun,अप्रत्याशितता
Safle haven,phrase,सुरक्षित ठिकाना
Greenback,noun,अमेरिकी डॉलर
Hover,verb,मंडराना
Consecutive,adjective,लगातार
Stretch,noun,"अवधि, फैलाव"
Intervene,verb,हस्तक्षेप करना
Stem,verb,रोकना
On account of,phrase,के कारण
Revaluation,noun,पुनर्मूल्यांकन
Abate,verb,कम होना
Smoothen out,phrasal verb,सुचारू बनाना
Depreciation,noun,मूल्यह्रास
Headline inflation,noun,समग्र मुद्रास्फीति
Basis point,noun,आधार अंक
Considering,preposition,को ध्यान में रखते हुए
Slowdown,noun,मंदी
Fiscal consolidation,noun,राजकोषीय सुदृढ़ीकरण
Bring down,phrasal verb,कम करना
Fiscal deficit,noun,राजकोषीय घाटा
In the pursuit of,phrase,की खोज में
Stripe,noun,"प्रकार, धारी"
Regimen,noun,नियमित दिनचर्या
Bottom line,noun,मुख्य बिंदु
Cold,adjective,"ठंडा, उदासीन"
Condescension,noun,उपेक्षापूर्ण व्यवहार
Turnover,noun,कारोबार
Exhortation,noun,"प्रेरणा, अनुरोध"
Regularisation,noun,नियमितीकरण
In contrast to,phrase,की तुलना में
At the top of the pyramid,phrase,सर्वोच्च स्थान पर
Consideration,noun,विचार
Benchmark,noun,मानक
Translate,verb,"बदल जाना, परिणत होना"
Overlook,verb,अनदेखा करना
Sustainability,noun,स्थिरता
Out of the realm of possibility,phrase,असंभव
Valorise,verb,मूल्य बढ़ाना
Buck the trend,phrase,प्रवृत्ति के विपरीत जाना
Intuitive,adjective,सहज बोध वाला
Acumen,noun,कुशाग्रता
Internalise,verb,आत्मसात करना
Highlight,verb,उजागर करना
Preamble,noun,प्रस्तावना
Depressed,adjective,मंद
Concluded,adjective,समाप्त
Bounce back,noun,उबरना
Momentum,noun,गति
Pick up,noun,तेज होना
Government spending,noun,सरकारी व्यय
Capital expenditure,noun,पूंजीगत व्यय
Waning,adjective,क्षीण होता
Foreign portfolio investor,noun,विदेशी पोर्टफोलियो निवेशक
Spook,verb,डरा देना
Outbreak,noun,प्रकोप
Prompt,verb,प्रेरित करना
Reassess,verb,पुनर्मूल्यांकन करना
Alongside,adverb,साथ-साथ
Keep someone on someone’s toes,phrase,सतर्क रखना
Stave off,phrasal verb,टालना
Antithetical,adjective,विपरीत
Endeavour,noun,प्रयास
Need of the hour,phrase,समय की मांग
Reroute,verb,रास्ता बदलना
Glory,noun,गौरव
Formulate,verb,तैयार करना
Unlike,preposition,के विपरीत
Set-in-stone,adjective,"अटल, अपरिवर्तनीय"
Fascinating,adjective,आकर्षक
Complexity,noun,जटिलता
Statistic,noun,आंकड़ा
Interpret,verb,व्याख्या करना
Flat deck pitch,noun,सपाट पिच
Tiring,adjective,थकाने वाला
Inferior (to),adjective,निम्न स्तर का
Rank turner,noun,अत्यधिक स्पिन वाली पिच
Burst,noun,अचानक उभार
Pacer,noun,तेज गेंदबाज़
Dead pitch,noun,निष्क्रिय पिच
Dismissal,noun,बर्खास्तगी
Tabulated,adjective,सारणीबद्ध
Bound,adjective,बाध्य
Imprisoned,adjective,कैद किया गया
End up,phrasal verb,अंततः बनना
Reltinue,noun,अनुचर मंडल
Sacred,adjective,पवित्र
Dissect,verb,गहन विश्लेषण करना
Leap (into),verb,छलांग लगाना
Franchise,noun,फ्रेंचाइज़ी
Vulnerable,adjective,कमजोर
Modest,adjective,मामूली
Midway,noun,बीच में
Flawed,adjective,दोषपूर्ण
Concerted,adjective,सामूहिक
Gimmick,noun,"चोंचला, तिकड़म"
Blurred,adjective,धुंधला
Cluttered,adjective,अस्त-व्यस्त
Amenable (to),adjective,ग्रहणशील
Pro curement,noun,खरीद
Accord (to),verb,प्रदान करना
Existing,adjective,मौजूदा
Resistant (to),adjective,प्रतिरोधी
Water-guzzling,adjective,अत्यधिक पानी खपाने वाला
Harbour,verb,आश्रय देना
Ambiguity,noun,अस्पष्टता
Assurance,noun,आश्वासन
